markdown: 10x (~200 lines) - tokenize	74350.00
markdown: 10x (~200 lines) - full parse	689000.00
markdown: 10x (~200 lines) - incremental	348410.00
markdown: 50x (~1000 lines) - tokenize	377840.00
markdown: 50x (~1000 lines) - full parse	7990000.00
markdown: 50x (~1000 lines) - incremental	1760000.00
markdown: 100x (~2000 lines) - tokenize	773450.00
markdown: 100x (~2000 lines) - full parse	28010000.00
markdown: 100x (~2000 lines) - incremental	3600000.00
markdown: realistic doc - full parse (CST)	128110.00
markdown: realistic doc - full parse (CST+AST)	209000.00
markdown: realistic doc - tokenize only	39360.00
markdown: realistic doc - lowering SyntaxNode -> Block	68870.00
markdown: realistic doc - lowering SyntaxNode -> MarkdownIR -> Block	69220.00
markdown: 50x doc - lowering SyntaxNode -> Block	6320000.00
markdown: 50x doc - lowering SyntaxNode -> MarkdownIR -> Block	6120000.00
markdown: realistic doc - incremental (edit paragraph)	201490.00
markdown: realistic doc - incremental (edit heading)	179140.00
markdown: realistic doc - incremental (edit list item)	194370.00
markdown: realistic doc - incremental (edit code block)	183860.00
bench: token_at_offset interior hit mid-tree	2030.00
bench: token_at_offset boundary Between mid-tree	3910.00
bench: token_at_offset out-of-range miss (full scan)	3920.00
bench: build_tree with ReuseNode (rebuild_subtree)	122650.00
bench: build_tree_interned with ReuseNode (re_intern_tokens_only)	205380.00
bench: EventBuffer push_parser_reuse_node_rebased (matching source rebase)	183200.00
bench: EventBuffer push_parser_reuse_node_rebased_unchecked (validated source rebase)	138880.00
bench: text_len hand-written	538400.00
bench: text_len via accept_fold[TextLen]	495090.00
bench: text_len via closure fold	755110.00
bench: node_count hand-written	484630.00
bench: node_count via accept_transform_fold[NodeCount]	404810.00
bench: node_count via closure transform_fold	411260.00
bench: token_count (trivia filter) via CstElement::token_count	532330.00
